source_id,target_id,relation_type,status,distance_km,note
basin_bouregreg_chaouia,dam_smba,contains_major_dam,verified,,SMBA belongs to Bouregreg-Chaouia system
basin_bouregreg_chaouia,dam_tamesna,contains_dam,verified,,Tamesna on Oued Zamrine/El Maleh; ABHBC jurisdiction
basin_bouregreg_chaouia,dam_el_mellah,contains_dam,verified,,El Mellah on Oued El Maleh; ABHBC jurisdiction
basin_bouregreg_chaouia,dam_el_himer,contains_dam,verified,,El Himer on Oued El Himer; ABHBC jurisdiction
basin_bouregreg_chaouia,dam_maazer,contains_dam,verified,,Maazer in Berrechid plain area; ABHBC jurisdiction
basin_bouregreg_chaouia,dam_oued_hassar,contains_dam,verified,,Oued Hassar near Mediouna; ABHBC jurisdiction
basin_bouregreg_chaouia,dam_ain_kouachia,contains_dam,verified,,Ain Kouachia on Oued Kellata; prefecture Skhirate-Temara; ABHBC
basin_bouregreg_chaouia,dam_zamrine,contains_dam,verified,,Zamrine on Oued Zamrine; ABHBC jurisdiction
basin_sebou,dam_garde_sebou,contains_major_dam,verified,,Garde de Sebou belongs to Sebou system
dam_smba,complex_bouregreg,feeds,verified,,SMBA feeds Bouregreg production system
complex_bouregreg,station_bouregreg,includes,verified,,Complex includes treatment station
dam_garde_sebou,dam_smba,interconnection_transfer,verified_project,67.0,Official Sebou-Bouregreg interconnection project length ~67 km
dam_zamrine,dam_tamesna,feeds,verified,2.0,Zamrine upstream feeds Tamesna on same Oued Zamrine
dam_el_mellah,dam_tamesna,feeds,estimated,25.0,El Mellah (downstream Oued El Maleh) connected to Tamesna (upstream)
dam_tamesna,city_bouznika,supplies_modeled,estimated,45.0,Tamesna protects/supplies Berrechid plain and nearby cities
dam_el_himer,city_rommani,supplies_modeled,estimated,30.0,El Himer supplies southern areas toward Rommani
dam_oued_hassar,city_temara,supplies_modeled,estimated,18.0,Oued Hassar supplies Temara / Mediouna zone
dam_ain_kouachia,city_skhirat,supplies_modeled,estimated,12.0,Ain Kouachia supplies Skhirate-Temara prefecture
dam_maazer,dam_tamesna,feeds,estimated,15.0,Maazer feeds into Berrechid/Tamesna drainage system
station_bouregreg,city_rabat,supplies_modeled,verified_service_area + modeled_link,4.5,Service area is verified; exact pipe path is not yet verified
station_bouregreg,city_sale,supplies_modeled,verified_service_area + modeled_link,6.4,Service area is verified; exact pipe path is not yet verified
station_bouregreg,city_temara,supplies_modeled,verified_service_area + modeled_link,9.8,Service area is verified; exact pipe path is not yet verified
station_bouregreg,city_skhirat,supplies_modeled,verified_service_area + modeled_link,23.8,Service area is verified; exact pipe path is not yet verified
station_bouregreg,city_bouznika,supplies_modeled,verified_service_area + modeled_link,37.3,Service area is verified; exact pipe path is not yet verified
station_bouregreg,city_ain_aouda,supplies_modeled,verified_service_area + modeled_link,20.3,Service area is verified; exact pipe path is not yet verified
station_bouregreg,city_rommani,supplies_modeled,verified_service_area + modeled_link,54.1,Service area is verified; exact pipe path is not yet verified
dam_garde_sebou,city_kenitra,strategic_supply_zone,strategic_modeled,29.6,Strategic coastal zone around Kenitra; direct potable path not asserted here
